--- ripple_adder ---
VCD info: dumpfile build/adder.vcd opened for output.
FAIL: 0 + 1 + 1 -> got 0, want 2
FAIL: 0 + 3 + 1 -> got 2, want 4
FAIL: 0 + 5 + 1 -> got 4, want 6
FAIL: 0 + 7 + 1 -> got 6, want 8
FAIL: 0 + 9 + 1 -> got 8, want 10
FAIL: 0 + 11 + 1 -> got 10, want 12
FAIL: 0 + 13 + 1 -> got 12, want 14
FAIL: 0 + 15 + 1 -> got 14, want 16
FAIL: 1 + 0 + 1 -> got 0, want 2
FAIL: 1 + 2 + 1 -> got 2, want 4
FAIL: 1 + 3 + 0 -> got 0, want 4
FAIL: 1 + 3 + 1 -> got 1, want 5
FAIL: 1 + 4 + 1 -> got 4, want 6
FAIL: 1 + 6 + 1 -> got 6, want 8
FAIL: 1 + 7 + 0 -> got 4, want 8
FAIL: 1 + 7 + 1 -> got 5, want 9
FAIL: 1 + 8 + 1 -> got 8, want 10
FAIL: 1 + 10 + 1 -> got 10, want 12
FAIL: 1 + 11 + 0 -> got 8, want 12
FAIL: 1 + 11 + 1 -> got 9, want 13
FAIL: 1 + 12 + 1 -> got 12, want 14
FAIL: 1 + 14 + 1 -> got 14, want 16
FAIL: 1 + 15 + 0 -> got 12, want 16
FAIL: 1 + 15 + 1 -> got 13, want 17
FAIL: 2 + 1 + 1 -> got 2, want 4
FAIL: 2 + 3 + 1 -> got 4, want 6
FAIL: 2 + 5 + 1 -> got 6, want 8
FAIL: 2 + 6 + 0 -> got 0, want 8
FAIL: 2 + 6 + 1 -> got 1, want 9
FAIL: 2 + 7 + 0 -> got 1, want 9
FAIL: 2 + 7 + 1 -> got 0, want 10
FAIL: 2 + 9 + 1 -> got 10, want 12
FAIL: 2 + 11 + 1 -> got 12, want 14
FAIL: 2 + 13 + 1 -> got 14, want 16
FAIL: 2 + 14 + 0 -> got 8, want 16
FAIL: 2 + 14 + 1 -> got 9, want 17
FAIL: 2 + 15 + 0 -> got 9, want 17
FAIL: 2 + 15 + 1 -> got 8, want 18
FAIL: 3 + 0 + 1 -> got 2, want 4
FAIL: 3 + 1 + 0 -> got 0, want 4
FAIL: 3 + 1 + 1 -> got 1, want 5
FAIL: 3 + 2 + 1 -> got 4, want 6
FAIL: 3 + 4 + 1 -> got 6, want 8
FAIL: 3 + 5 + 0 -> got 4, want 8
FAIL: 3 + 5 + 1 -> got 5, want 9
FAIL: 3 + 6 + 0 -> got 1, want 9
FAIL: 3 + 6 + 1 -> got 0, want 10
FAIL: 3 + 7 + 0 -> got 2, want 10
FAIL: 3 + 7 + 1 -> got 3, want 11
FAIL: 3 + 8 + 1 -> got 10, want 12
FAIL: 3 + 9 + 0 -> got 8, want 12
FAIL: 3 + 9 + 1 -> got 9, want 13
FAIL: 3 + 10 + 1 -> got 12, want 14
FAIL: 3 + 12 + 1 -> got 14, want 16
FAIL: 3 + 13 + 0 -> got 12, want 16
FAIL: 3 + 13 + 1 -> got 13, want 17
FAIL: 3 + 14 + 0 -> got 9, want 17
FAIL: 3 + 14 + 1 -> got 8, want 18
FAIL: 3 + 15 + 0 -> got 10, want 18
FAIL: 3 + 15 + 1 -> got 11, want 19
FAIL: 4 + 1 + 1 -> got 4, want 6
FAIL: 4 + 3 + 1 -> got 6, want 8
FAIL: 4 + 5 + 1 -> got 8, want 10
FAIL: 4 + 7 + 1 -> got 10, want 12
FAIL: 4 + 9 + 1 -> got 12, want 14
FAIL: 4 + 11 + 1 -> got 14, want 16
FAIL: 4 + 12 + 0 -> got 0, want 16
FAIL: 4 + 12 + 1 -> got 1, want 17
FAIL: 4 + 13 + 0 -> got 1, want 17
FAIL: 4 + 13 + 1 -> got 0, want 18
FAIL: 4 + 14 + 0 -> got 2, want 18
FAIL: 4 + 14 + 1 -> got 3, want 19
FAIL: 4 + 15 + 0 -> got 3, want 19
FAIL: 4 + 15 + 1 -> got 2, want 20
FAIL: 5 + 0 + 1 -> got 4, want 6
FAIL: 5 + 2 + 1 -> got 6, want 8
FAIL: 5 + 3 + 0 -> got 4, want 8
FAIL: 5 + 3 + 1 -> got 5, want 9
FAIL: 5 + 4 + 1 -> got 8, want 10
FAIL: 5 + 6 + 1 -> got 10, want 12
FAIL: 5 + 7 + 0 -> got 8, want 12
FAIL: 5 + 7 + 1 -> got 9, want 13
FAIL: 5 + 8 + 1 -> got 12, want 14
FAIL: 5 + 10 + 1 -> got 14, want 16
FAIL: 5 + 11 + 0 -> got 12, want 16
FAIL: 5 + 11 + 1 -> got 13, want 17
FAIL: 5 + 12 + 0 -> got 1, want 17
FAIL: 5 + 12 + 1 -> got 0, want 18
FAIL: 5 + 13 + 0 -> got 2, want 18
FAIL: 5 + 13 + 1 -> got 3, want 19
FAIL: 5 + 14 + 0 -> got 3, want 19
FAIL: 5 + 14 + 1 -> got 2, want 20
FAIL: 5 + 15 + 0 -> got 0, want 20
FAIL: 5 + 15 + 1 -> got 1, want 21
FAIL: 6 + 1 + 1 -> got 6, want 8
FAIL: 6 + 2 + 0 -> got 0, want 8
FAIL: 6 + 2 + 1 -> got 1, want 9
FAIL: 6 + 3 + 0 -> got 1, want 9
FAIL: 6 + 3 + 1 -> got 0, want 10
FAIL: 6 + 5 + 1 -> got 10, want 12
FAIL: 6 + 7 + 1 -> got 12, want 14
FAIL: 6 + 9 + 1 -> got 14, want 16
FAIL: 6 + 10 + 0 -> got 8, want 16
FAIL: 6 + 10 + 1 -> got 9, want 17
FAIL: 6 + 11 + 0 -> got 9, want 17
FAIL: 6 + 11 + 1 -> got 8, want 18
FAIL: 6 + 12 + 0 -> got 2, want 18
FAIL: 6 + 12 + 1 -> got 3, want 19
FAIL: 6 + 13 + 0 -> got 3, want 19
