--- ripple_adder ---
VCD info: dumpfile build/adder.vcd opened for output.
FAIL: 0 + 7 + 1 -> got 24, want 8
FAIL: 1 + 6 + 1 -> got 24, want 8
FAIL: 1 + 7 + 0 -> got 24, want 8
FAIL: 1 + 7 + 1 -> got 25, want 9
FAIL: 2 + 5 + 1 -> got 24, want 8
FAIL: 2 + 6 + 0 -> got 24, want 8
FAIL: 2 + 6 + 1 -> got 25, want 9
FAIL: 2 + 7 + 0 -> got 25, want 9
FAIL: 2 + 7 + 1 -> got 26, want 10
FAIL: 3 + 4 + 1 -> got 24, want 8
FAIL: 3 + 5 + 0 -> got 24, want 8
FAIL: 3 + 5 + 1 -> got 25, want 9
FAIL: 3 + 6 + 0 -> got 25, want 9
FAIL: 3 + 6 + 1 -> got 26, want 10
FAIL: 3 + 7 + 0 -> got 26, want 10
FAIL: 3 + 7 + 1 -> got 27, want 11
FAIL: 4 + 3 + 1 -> got 24, want 8
FAIL: 4 + 4 + 0 -> got 24, want 8
FAIL: 4 + 4 + 1 -> got 25, want 9
FAIL: 4 + 5 + 0 -> got 25, want 9
FAIL: 4 + 5 + 1 -> got 26, want 10
FAIL: 4 + 6 + 0 -> got 26, want 10
FAIL: 4 + 6 + 1 -> got 27, want 11
FAIL: 4 + 7 + 0 -> got 27, want 11
FAIL: 4 + 7 + 1 -> got 28, want 12
FAIL: 5 + 2 + 1 -> got 24, want 8
FAIL: 5 + 3 + 0 -> got 24, want 8
FAIL: 5 + 3 + 1 -> got 25, want 9
FAIL: 5 + 4 + 0 -> got 25, want 9
FAIL: 5 + 4 + 1 -> got 26, want 10
FAIL: 5 + 5 + 0 -> got 26, want 10
FAIL: 5 + 5 + 1 -> got 27, want 11
FAIL: 5 + 6 + 0 -> got 27, want 11
FAIL: 5 + 6 + 1 -> got 28, want 12
FAIL: 5 + 7 + 0 -> got 28, want 12
FAIL: 5 + 7 + 1 -> got 29, want 13
FAIL: 6 + 1 + 1 -> got 24, want 8
FAIL: 6 + 2 + 0 -> got 24, want 8
FAIL: 6 + 2 + 1 -> got 25, want 9
FAIL: 6 + 3 + 0 -> got 25, want 9
FAIL: 6 + 3 + 1 -> got 26, want 10
FAIL: 6 + 4 + 0 -> got 26, want 10
FAIL: 6 + 4 + 1 -> got 27, want 11
FAIL: 6 + 5 + 0 -> got 27, want 11
FAIL: 6 + 5 + 1 -> got 28, want 12
FAIL: 6 + 6 + 0 -> got 28, want 12
FAIL: 6 + 6 + 1 -> got 29, want 13
FAIL: 6 + 7 + 0 -> got 29, want 13
FAIL: 6 + 7 + 1 -> got 30, want 14
FAIL: 7 + 0 + 1 -> got 24, want 8
FAIL: 7 + 1 + 0 -> got 24, want 8
FAIL: 7 + 1 + 1 -> got 25, want 9
FAIL: 7 + 2 + 0 -> got 25, want 9
FAIL: 7 + 2 + 1 -> got 26, want 10
FAIL: 7 + 3 + 0 -> got 26, want 10
FAIL: 7 + 3 + 1 -> got 27, want 11
FAIL: 7 + 4 + 0 -> got 27, want 11
FAIL: 7 + 4 + 1 -> got 28, want 12
FAIL: 7 + 5 + 0 -> got 28, want 12
FAIL: 7 + 5 + 1 -> got 29, want 13
FAIL: 7 + 6 + 0 -> got 29, want 13
FAIL: 7 + 6 + 1 -> got 30, want 14
FAIL: 7 + 7 + 0 -> got 30, want 14
FAIL: 7 + 7 + 1 -> got 31, want 15
FAIL: 8 + 8 + 0 -> got 0, want 16
FAIL: 8 + 8 + 1 -> got 1, want 17
FAIL: 8 + 9 + 0 -> got 1, want 17
FAIL: 8 + 9 + 1 -> got 2, want 18
FAIL: 8 + 10 + 0 -> got 2, want 18
FAIL: 8 + 10 + 1 -> got 3, want 19
FAIL: 8 + 11 + 0 -> got 3, want 19
FAIL: 8 + 11 + 1 -> got 4, want 20
FAIL: 8 + 12 + 0 -> got 4, want 20
FAIL: 8 + 12 + 1 -> got 5, want 21
FAIL: 8 + 13 + 0 -> got 5, want 21
FAIL: 8 + 13 + 1 -> got 6, want 22
FAIL: 8 + 14 + 0 -> got 6, want 22
FAIL: 8 + 14 + 1 -> got 7, want 23
FAIL: 8 + 15 + 0 -> got 7, want 23
FAIL: 9 + 8 + 0 -> got 1, want 17
FAIL: 9 + 8 + 1 -> got 2, want 18
FAIL: 9 + 9 + 0 -> got 2, want 18
FAIL: 9 + 9 + 1 -> got 3, want 19
FAIL: 9 + 10 + 0 -> got 3, want 19
FAIL: 9 + 10 + 1 -> got 4, want 20
FAIL: 9 + 11 + 0 -> got 4, want 20
FAIL: 9 + 11 + 1 -> got 5, want 21
FAIL: 9 + 12 + 0 -> got 5, want 21
FAIL: 9 + 12 + 1 -> got 6, want 22
FAIL: 9 + 13 + 0 -> got 6, want 22
FAIL: 9 + 13 + 1 -> got 7, want 23
FAIL: 9 + 14 + 0 -> got 7, want 23
FAIL: 10 + 8 + 0 -> got 2, want 18
FAIL: 10 + 8 + 1 -> got 3, want 19
FAIL: 10 + 9 + 0 -> got 3, want 19
FAIL: 10 + 9 + 1 -> got 4, want 20
FAIL: 10 + 10 + 0 -> got 4, want 20
FAIL: 10 + 10 + 1 -> got 5, want 21
FAIL: 10 + 11 + 0 -> got 5, want 21
FAIL: 10 + 11 + 1 -> got 6, want 22
FAIL: 10 + 12 + 0 -> got 6, want 22
FAIL: 10 + 12 + 1 -> got 7, want 23
FAIL: 10 + 13 + 0 -> got 7, want 23
FAIL: 11 + 8 + 0 -> got 3, want 19
FAIL: 11 + 8 + 1 -> got 4, want 20
FAIL: 11 + 9 + 0 -> got 4, want 20
FAIL: 11 + 9 + 1 -> got 5, want 21
FAIL: 11 + 10 + 0 -> got 5, want 21
FAIL: 11 + 10 + 1 -> got 6, want 22
FAIL: 11 + 11 + 0 -> got 6, want 22
FAIL: 11 + 11 + 1 -> got 7, want 23
FAIL: 11 + 12 + 0 -> got 7, want 23
FAIL: 12 + 8 + 0 -> got 4, want 20
FAIL: 12 + 8 + 1 -> got 5, want 21
FAIL: 12 + 9 + 0 -> got 5, want 21
FAIL: 12 + 9 + 1 -> got 6, want 22
FAIL: 12 + 10 + 0 -> got 6, want 22
FAIL: 12 + 10 + 1 -> got 7, want 23
FAIL: 12 + 11 + 0 -> got 7, want 23
FAIL: 13 + 8 + 0 -> got 5, want 21
FAIL: 13 + 8 + 1 -> got 6, want 22
FAIL: 13 + 9 + 0 -> got 6, want 22
FAIL: 13 + 9 + 1 -> got 7, want 23
FAIL: 13 + 10 + 0 -> got 7, want 23
FAIL: 14 + 8 + 0 -> got 6, want 22
FAIL: 14 + 8 + 1 -> got 7, want 23
FAIL: 14 + 9 + 0 -> got 7, want 23
FAIL: 15 + 8 + 0 -> got 7, want 23
FAIL  ripple_adder: 128 error(s)
tb/02_tb_adder.sv:52: $finish called at 512000 (1ps)
